forecast_id,note_id,canonical_note_url,published_at_utc,nba_game_id,nba_game_url,gamebook_url,scheduled_tipoff_utc,actual_start_utc,tipoff_verification_status,local_only_validation
RF2026-054,c-261288609,https://substack.com/@markbarnekow/note/c-261288609,2026-05-18T22:58:14.455000Z,0042500311,https://www.nba.com/game/sas-vs-okc-0042500311,https://statsdmz.nba.com/pdfs/20260518/20260518_SASOKC_book.pdf,2026-05-19T00:30:00Z,2026-05-19T00:38:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-056,c-262463628,https://substack.com/@markbarnekow/note/c-262463628,2026-05-20T22:48:48.208000Z,0042500312,https://www.nba.com/game/sas-vs-okc-0042500312,https://statsdmz.nba.com/pdfs/20260520/20260520_SASOKC_book.pdf,2026-05-21T00:30:00Z,2026-05-21T00:37:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-057,c-263034483,https://substack.com/@markbarnekow/note/c-263034483,2026-05-21T22:37:59.885000Z,0042500302,https://www.nba.com/game/cle-vs-nyk-0042500302,https://statsdmz.nba.com/pdfs/20260521/20260521_CLENYK_book.pdf,2026-05-22T00:00:00Z,2026-05-22T00:14:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-058,c-263355746,https://substack.com/@markbarnekow/note/c-263355746,2026-05-22T14:42:49.239000Z,0042500313,https://www.nba.com/game/okc-vs-sas-0042500313,https://statsdmz.nba.com/pdfs/20260522/20260522_OKCSAS_book.pdf,2026-05-23T00:30:00Z,2026-05-23T00:37:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-059,c-264002697,https://substack.com/@markbarnekow/note/c-264002697,2026-05-23T18:58:31.324000Z,0042500303,https://www.nba.com/game/nyk-vs-cle-0042500303,https://statsdmz.nba.com/pdfs/20260523/20260523_NYKCLE_book.pdf,2026-05-24T00:00:00Z,2026-05-24T00:14:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-060,c-264534053,https://substack.com/@markbarnekow/note/c-264534053,2026-05-24T20:16:06.431000Z,0042500314,https://www.nba.com/game/okc-vs-sas-0042500314,https://statsdmz.nba.com/pdfs/20260524/20260524_OKCSAS_book.pdf,2026-05-25T00:00:00Z,2026-05-25T00:13:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-061,c-264790040,https://substack.com/@markbarnekow/note/c-264790040,2026-05-25T10:31:16.830000Z,0042500304,https://www.nba.com/game/nyk-vs-cle-0042500304,https://statsdmz.nba.com/pdfs/20260525/20260525_NYKCLE_book.pdf,2026-05-26T00:00:00Z,2026-05-26T00:14:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-062,c-265654508,https://substack.com/@markbarnekow/note/c-265654508,2026-05-26T21:19:55.324000Z,0042500315,https://www.nba.com/game/sas-vs-okc-0042500315,https://statsdmz.nba.com/pdfs/20260526/20260526_SASOKC_book.pdf,2026-05-27T00:30:00Z,2026-05-27T00:37:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-063,c-266765802,https://substack.com/@markbarnekow/note/c-266765802,2026-05-28T20:13:56.920000Z,0042500316,https://www.nba.com/game/okc-vs-sas-0042500316,https://statsdmz.nba.com/pdfs/20260528/20260528_OKCSAS_book.pdf,2026-05-29T00:30:00Z,2026-05-29T00:37:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-064,c-267665161,https://substack.com/@markbarnekow/note/c-267665161,2026-05-30T13:53:16.964000Z,0042500317,https://www.nba.com/game/sas-vs-okc-0042500317,https://statsdmz.nba.com/pdfs/20260530/20260530_SASOKC_book.pdf,2026-05-31T00:00:00Z,2026-05-31T00:17:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-065,c-269585991,https://substack.com/@markbarnekow/note/c-269585991,2026-06-02T23:06:39.294000Z,0042500401,https://www.nba.com/game/nyk-vs-sas-0042500401,https://statsdmz.nba.com/pdfs/20260603/20260603_NYKSAS_book.pdf,2026-06-04T00:30:00Z,2026-06-04T00:45:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-066,c-270738458,https://substack.com/@markbarnekow/note/c-270738458,2026-06-04T21:44:27.011000Z,0042500402,https://www.nba.com/game/nyk-vs-sas-0042500402,https://statsdmz.nba.com/pdfs/20260605/20260605_NYKSAS_book.pdf,2026-06-06T00:30:00Z,2026-06-06T00:44:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-067,c-272545790,https://substack.com/@markbarnekow/note/c-272545790,2026-06-08T08:56:03.197000Z,0042500403,https://www.nba.com/game/sas-vs-nyk-0042500403,https://statsdmz.nba.com/pdfs/20260608/20260608_SASNYK_book.pdf,2026-06-09T00:30:00Z,2026-06-09T00:45:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-068,c-274135408,https://substack.com/@markbarnekow/note/c-274135408,2026-06-10T22:44:05.476000Z,0042500404,https://www.nba.com/game/sas-vs-nyk-0042500404,https://statsdmz.nba.com/pdfs/20260610/20260610_SASNYK_book.pdf,2026-06-11T00:30:00Z,2026-06-11T00:44:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-069,c-275443042,https://substack.com/@markbarnekow/note/c-275443042,2026-06-13T05:59:52.727000Z,0042500405,https://www.nba.com/game/nyk-vs-sas-0042500405,https://statsdmz.nba.com/pdfs/20260613/20260613_NYKSAS_book.pdf,2026-06-14T00:30:00Z,2026-06-14T00:44:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
