forecast_id,note_id,canonical_note_url,published_at_utc,official_tipoff_utc,lead_time_minutes,actual_start_utc,lead_time_to_actual_start_minutes,prospective_timing_basis,prospective_status_final,nba_game_id,round,series_key,official_game_number,away_team,home_team,predicted_control_team,predicted_outcome_team,analysis_outcome_call_correct,edited_flag,metadata_correction_flag,strict_prospective_sample,strict_sample_exclusion_reason
RF2026-060,c-264534053,https://substack.com/@markbarnekow/note/c-264534053,2026-05-24T20:16:06.431000Z,2026-05-25T00:00:00Z,223.89281666666665,2026-05-25T00:13:00Z,236.89281666666665,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500314,Conference Finals,SAS-OKC,4,OKC,SAS,OKC,OKC,False,False,False,True,
RF2026-061,c-264790040,https://substack.com/@markbarnekow/note/c-264790040,2026-05-25T10:31:16.830000Z,2026-05-26T00:00:00Z,808.7194999999999,2026-05-26T00:14:00Z,822.7194999999999,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500304,Conference Finals,NYK-CLE,4,NYK,CLE,NYK,NYK,True,False,False,True,
RF2026-062,c-265654508,https://substack.com/@markbarnekow/note/c-265654508,2026-05-26T21:19:55.324000Z,2026-05-27T00:30:00Z,190.07793333333333,2026-05-27T00:37:00Z,197.07793333333333,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500315,Conference Finals,SAS-OKC,5,SAS,OKC,OKC,OKC,True,False,False,True,
RF2026-063,c-266765802,https://substack.com/@markbarnekow/note/c-266765802,2026-05-28T20:13:56.920000Z,2026-05-29T00:30:00Z,256.05133333333333,2026-05-29T00:37:00Z,263.05133333333333,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500316,Conference Finals,SAS-OKC,6,OKC,SAS,OKC,OKC,False,False,False,True,
RF2026-064,c-267665161,https://substack.com/@markbarnekow/note/c-267665161,2026-05-30T13:53:16.964000Z,2026-05-31T00:00:00Z,606.7172666666667,2026-05-31T00:17:00Z,623.7172666666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500317,Conference Finals,SAS-OKC,7,SAS,OKC,SAS,SAS,True,False,False,True,
RF2026-065,c-269585991,https://substack.com/@markbarnekow/note/c-269585991,2026-06-02T23:06:39.294000Z,2026-06-04T00:30:00Z,1523.3451,2026-06-04T00:45:00Z,1538.3451,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500401,NBA Finals,NYK-SAS,1,NYK,SAS,NYK,NYK,True,False,False,True,
RF2026-066,c-270738458,https://substack.com/@markbarnekow/note/c-270738458,2026-06-04T21:44:27.011000Z,2026-06-06T00:30:00Z,1605.5498166666666,2026-06-06T00:44:00Z,1619.5498166666666,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500402,NBA Finals,NYK-SAS,2,NYK,SAS,NYK,NYK,True,False,True,True,
RF2026-067,c-272545790,https://substack.com/@markbarnekow/note/c-272545790,2026-06-08T08:56:03.197000Z,2026-06-09T00:30:00Z,933.9467166666667,2026-06-09T00:45:00Z,948.9467166666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500403,NBA Finals,NYK-SAS,3,SAS,NYK,NYK,NYK,False,False,False,True,
RF2026-068,c-274135408,https://substack.com/@markbarnekow/note/c-274135408,2026-06-10T22:44:05.476000Z,2026-06-11T00:30:00Z,105.90873333333334,2026-06-11T00:44:00Z,119.90873333333334,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500404,NBA Finals,NYK-SAS,4,SAS,NYK,NYK,NYK,True,False,False,True,
RF2026-069,c-275443042,https://substack.com/@markbarnekow/note/c-275443042,2026-06-13T05:59:52.727000Z,2026-06-14T00:30:00Z,1110.1212166666667,2026-06-14T00:44:00Z,1124.1212166666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500405,NBA Finals,NYK-SAS,5,NYK,SAS,NYK,NYK,True,False,False,True,
