nba_game_id,series_id,round_number,matchup_number,series_game_number,away_team_tricode,home_team_tricode,cap_team_a,cap_team_b,cap_team_a_control_share,cap_team_b_control_share,cap_home_minus_away_share,absolute_cap_share_gap,cap_categorical_controller,cap_controller_location,cap_determinacy_status,away_seed,home_seed,higher_seed_location,forecast_source_id,forecast_control_team_tricode,official_away_score,official_home_score,final_home_minus_away_margin,absolute_final_margin,winner_location,halftime_home_minus_away_margin,absolute_halftime_margin,halftime_leader,home_led_seconds,away_led_seconds,tied_seconds,lead_duration_difference,absolute_lead_duration_difference,team_led_longer,home_largest_lead,away_largest_lead,largest_lead_team,signed_largest_lead_advantage,absolute_largest_lead_advantage,larger_largest_lead,lead_changes,clutch_game,one_possession_game,overtime,number_of_overtimes,permanent_winner_lead_fraction,pbp_validation_status,source_reconciliation_status,missingness_status
0042500201,DET-CLE,2,3,1,CLE,DET,CLE,DET,0.315508,0.427807,0.112299,0.112299,DET,HOME,DETERMINATE,4,1,HOME,RF2026-036,DET,101,111,10,10,HOME,13,13,HOME,2625.0,173.0,82.0,2452.0,2452.0,HOME,18,5,HOME,13,13,18,1,True,False,False,0,0.8993055555555556,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500202,DET-CLE,2,3,2,CLE,DET,CLE,DET,0.39548,0.293785,-0.101695,0.101695,indeterminate,INDETERMINATE,INDETERMINATE,4,1,HOME,RF2026-040,DET,97,107,10,10,HOME,11,11,HOME,2721.0,43.0,116.0,2678.0,2678.0,HOME,14,3,HOME,11,11,14,3,True,False,False,0,0.7986111111111112,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500204,DET-CLE,2,3,4,DET,CLE,DET,CLE,0.383784,0.427027,0.043243,0.043243,indeterminate,INDETERMINATE,INDETERMINATE,1,4,AWAY,RF2026-047,DET,103,112,9,9,HOME,-4,4,AWAY,1795.0,907.0,178.0,888.0,888.0,HOME,21,7,HOME,14,14,21,10,False,False,False,0,0.5236111111111111,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500205,DET-CLE,2,3,5,CLE,DET,CLE,DET,0.309942,0.444444,0.134502,0.134502,DET,HOME,DETERMINATE,4,1,HOME,RF2026-050,DET,117,113,-4,4,AWAY,8,8,HOME,2183.8,480.0,216.2,1703.8,1703.8,HOME,15,4,HOME,11,11,15,10,True,False,True,1,0.9141509433962264,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500206,DET-CLE,2,3,6,DET,CLE,DET,CLE,0.432432,0.367568,-0.064864,0.064864,DET,AWAY,DETERMINATE,1,4,AWAY,RF2026-051,CLE,115,94,-21,21,AWAY,-3,3,AWAY,449.3,2292.1,138.6,-1842.8,1842.8,AWAY,6,22,AWAY,-16,16,22,5,False,False,False,0,0.24996527777777777,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500207,DET-CLE,2,3,7,CLE,DET,CLE,DET,0.526946,0.161677,-0.365269,0.365269,CLE,AWAY,DETERMINATE,4,1,HOME,RF2026-053,DET,125,94,-31,31,AWAY,-17,17,AWAY,29.0,2807.0,44.0,-2778.0,2778.0,AWAY,1,35,AWAY,-34,34,35,2,False,False,False,0,0.16180555555555556,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500211,NYK-PHI,2,1,1,PHI,NYK,PHI,NYK,0.302326,0.575581,0.273255,0.273255,NYK,HOME,DETERMINATE,7,3,HOME,RF2026-034,NYK,98,137,39,39,HOME,23,23,HOME,2608.0,142.0,130.0,2466.0,2466.0,HOME,40,3,HOME,37,37,40,10,False,False,False,0,0.16770833333333332,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500212,NYK-PHI,2,1,2,PHI,NYK,PHI,NYK,0.208556,0.406417,0.197861,0.197861,NYK,HOME,DETERMINATE,7,3,HOME,RF2026-038,NYK,102,108,6,6,HOME,-1,1,AWAY,876.2,1606.8,397.0,-730.6,730.6,AWAY,7,7,TIED,0,0,7,25,True,False,False,0,0.89375,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500213,NYK-PHI,2,1,3,NYK,PHI,NYK,PHI,0.391304,0.282609,-0.108695,0.108695,NYK,AWAY,DETERMINATE,3,7,AWAY,RF2026-042,NYK,108,94,-14,14,AWAY,-8,8,AWAY,855.0,1940.0,85.0,-1085.0,1085.0,AWAY,12,16,AWAY,-4,4,16,1,False,False,False,0,0.3263888888888889,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500214,NYK-PHI,2,1,4,NYK,PHI,NYK,PHI,0.584337,0.096386,-0.487951,0.487951,NYK,AWAY,DETERMINATE,3,7,AWAY,RF2026-045,NO_CONTROL_CALL,144,114,-30,30,AWAY,-24,24,AWAY,21.0,2799.0,60.0,-2778.0,2778.0,AWAY,2,44,AWAY,-42,42,44,1,False,False,False,0,0.028125,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
