nba_game_id,series,round,series_game_number,away_team,home_team,away_seed,home_seed,rfactor_forecast_team,official_winner,away_score,home_score,final_margin,cap_team_a,cap_team_b,cap_team_a_control_share,cap_team_b_control_share,signed_control_share_difference_team_a_minus_team_b,absolute_control_share_difference,cap_categorical_controller,cap_determinacy_status,cap_controller_matched_winner,rfactor_matched_cap,rfactor_matched_eventual_winner,home_team_won,higher_seed_team,higher_seed_won,overtime,number_of_overtimes,halftime_margin,lead_changes,largest_lead,home_led_seconds,away_led_seconds,tied_seconds,clutch_game,permanent_winner_lead_fraction,one_possession_game,winner_led_fraction,loser_led_fraction
0042500232,SAS-MIN,2,2,MIN,SAS,6,2,SAS,SAS,95,133,38,MIN,SAS,0.225131,0.565445,-0.340314,0.340314,SAS,DETERMINATE,True,True,True,True,SAS,True,False,0,24,4,47,2761.0,17.0,102.0,False,0.15833333333333333,False,0.9586805555555555,0.005902777777777778
0042500233,SAS-MIN,2,3,SAS,MIN,2,6,SAS,SAS,115,108,7,SAS,MIN,0.415,0.315,0.09999999999999998,0.09999999999999998,INDETERMINATE,INDETERMINATE,NA,NA,True,False,SAS,True,False,0,0,6,15,261.1,2507.7,111.2,True,0.5100694444444445,False,0.8707291666666666,0.09065972222222222
0042500234,SAS-MIN,2,4,SAS,MIN,2,6,SAS,MIN,109,114,5,SAS,MIN,0.35533,0.375635,-0.020305000000000017,0.020305000000000017,INDETERMINATE,INDETERMINATE,NA,NA,False,True,SAS,False,False,0,4,9,9,1271.0,1392.0,217.0,True,0.9368055555555556,False,0.44131944444444443,0.48333333333333334
0042500235,SAS-MIN,2,5,MIN,SAS,6,2,SAS,SAS,97,126,29,MIN,SAS,0.322917,0.463542,-0.140625,0.140625,SAS,DETERMINATE,True,True,True,True,SAS,True,False,0,12,2,30,2802.0,9.0,69.0,False,0.6006944444444444,False,0.9729166666666667,0.003125
0042500236,SAS-MIN,2,6,SAS,MIN,2,6,SAS,SAS,139,109,30,SAS,MIN,0.516304,0.309783,0.206521,0.206521,SAS,DETERMINATE,True,True,True,False,SAS,True,False,0,13,0,37,0.0,2835.0,45.0,False,0.015625,False,0.984375,0.0
0042500302,NYK-CLE,3,2,CLE,NYK,4,3,NYK,NYK,93,109,16,CLE,NYK,0.325714,0.32,0.005713999999999997,0.005713999999999997,INDETERMINATE,INDETERMINATE,NA,NA,True,True,NYK,True,False,0,4,6,19,1942.0,615.7,322.3,False,0.5385416666666667,False,0.6743055555555556,0.21378472222222225
0042500303,NYK-CLE,3,3,NYK,CLE,3,4,NYK,NYK,121,108,13,NYK,CLE,0.46114,0.222798,0.238342,0.238342,NYK,DETERMINATE,True,True,True,False,NYK,True,False,0,6,0,17,0.0,2765.0,115.0,False,0.4152777777777778,False,0.9600694444444444,0.0
0042500304,NYK-CLE,3,4,NYK,CLE,3,4,NYK,NYK,130,93,37,NYK,CLE,0.556818,0.244318,0.3125,0.3125,NYK,DETERMINATE,True,True,True,False,NYK,True,False,0,19,5,45,326.0,2539.0,15.0,False,0.1375,False,0.8815972222222223,0.11319444444444444
0042500311,SAS-OKC,3,1,SAS,OKC,2,1,OKC,SAS,122,115,7,SAS,OKC,0.423913,0.282609,0.14130399999999999,0.14130399999999999,SAS,DETERMINATE,True,False,False,False,OKC,False,True,2,7,10,10,246.5,2830.5,403.0,True,0.9367816091954023,False,0.8133620689655172,0.07083333333333333
0042500312,SAS-OKC,3,2,SAS,OKC,2,1,OKC,OKC,113,122,9,SAS,OKC,0.212435,0.445596,-0.23316099999999998,0.23316099999999998,OKC,DETERMINATE,True,True,True,True,OKC,True,False,0,11,14,13,2295.6,405.6,178.8,True,0.5979166666666667,False,0.7970833333333333,0.14083333333333334
0042500313,SAS-OKC,3,3,OKC,SAS,1,2,OKC,OKC,123,108,15,OKC,SAS,0.305699,0.435233,-0.12953399999999998,0.12953399999999998,INDETERMINATE,INDETERMINATE,NA,NA,True,False,OKC,True,False,0,7,9,18,897.0,1892.0,91.0,False,0.39895833333333336,False,0.6569444444444444,0.31145833333333334
0042500314,SAS-OKC,3,4,OKC,SAS,1,2,OKC,SAS,82,103,21,OKC,SAS,0.251309,0.439791,-0.18848199999999998,0.18848199999999998,SAS,DETERMINATE,True,False,False,True,OKC,False,False,0,12,6,25,2761.0,95.0,24.0,False,0.08715277777777777,False,0.9586805555555555,0.03298611111111111
0042500315,SAS-OKC,3,5,SAS,OKC,2,1,OKC,OKC,114,127,13,SAS,OKC,0.247525,0.50495,-0.257425,0.257425,OKC,DETERMINATE,True,True,True,True,OKC,True,False,0,11,6,20,2255.7,484.8,139.5,False,0.2621527777777778,False,0.7832291666666666,0.16833333333333333
0042500316,SAS-OKC,3,6,OKC,SAS,1,2,OKC,SAS,91,118,27,OKC,SAS,0.339181,0.315789,0.023392000000000024,0.023392000000000024,INDETERMINATE,INDETERMINATE,NA,NA,False,True,OKC,False,False,0,7,0,28,2865.0,0.0,15.0,False,0.005208333333333333,False,0.9947916666666666,0.0
0042500317,SAS-OKC,3,7,SAS,OKC,2,1,SAS,SAS,111,103,8,SAS,OKC,0.333333,0.42623,-0.09289700000000001,0.09289700000000001,OKC,DETERMINATE,False,False,True,False,OKC,False,False,0,3,4,14,98.8,2660.2,121.0,False,0.5927083333333333,False,0.9236805555555555,0.034305555555555554
0042500401,NYK-SAS,4,1,NYK,SAS,3,2,NYK,NYK,105,95,10,NYK,SAS,0.546875,0.286458,0.260417,0.260417,NYK,DETERMINATE,True,True,True,False,SAS,False,False,0,7,10,14,1601.4,1171.0,107.6,True,0.9618055555555556,False,0.4065972222222222,0.5560416666666667
0042500402,NYK-SAS,4,2,NYK,SAS,3,2,NYK,NYK,105,104,1,NYK,SAS,0.329897,0.345361,-0.015463999999999978,0.015463999999999978,INDETERMINATE,INDETERMINATE,NA,NA,True,False,SAS,False,False,0,4,5,14,1352.7,1432.5,94.8,True,0.9967013888888889,True,0.4973958333333333,0.46968750000000004
0042500403,NYK-SAS,4,3,SAS,NYK,2,3,NYK,SAS,115,111,4,SAS,NYK,0.538043,0.282609,0.25543400000000005,0.25543400000000005,SAS,DETERMINATE,True,False,False,False,SAS,True,False,0,7,6,12,462.0,2241.1,176.9,True,0.7383680555555555,False,0.7781597222222222,0.16041666666666668
0042500404,NYK-SAS,4,4,SAS,NYK,2,3,NYK,NYK,106,107,1,SAS,NYK,0.289617,0.502732,-0.21311499999999994,0.21311499999999994,NYK,DETERMINATE,True,True,True,True,SAS,False,False,0,27,3,29,53.8,2796.2,30.0,True,0.9992708333333333,True,0.018680555555555554,0.9709027777777777
0042500405,NYK-SAS,4,5,NYK,SAS,3,2,NYK,NYK,94,90,4,NYK,SAS,0.421348,0.393258,0.028090000000000004,0.028090000000000004,INDETERMINATE,INDETERMINATE,NA,NA,True,False,SAS,False,False,0,5,5,16,2424.0,275.0,181.0,True,0.9774305555555556,False,0.0954861111111111,0.8416666666666667
